data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-03-01,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,,,54,0,54,,,,,,
2021-03-02,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,54,0,54,,,,,,
2021-03-03,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,54,0,54,,,,,,
2021-03-04,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,54,0,54,,,,,,
2021-03-05,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,54,0,54,,,,,,
2021-03-06,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,54,0,54,,,,,,
2021-03-07,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,54,0,54,,,,,,
2021-03-08,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,54,0,54,,,,,,
2021-03-09,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,54,0,54,,,,,,
2021-03-10,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,54,0,54,,,,,,
2021-03-11,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,54,0,54,,,,,,
2021-03-13,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,54,0,54,,,,,,
2021-03-14,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,54,0,54,,,,,,
2021-03-15,CL,085014,Resuttano,37.678648,14.029464,,0,0,1,1,1,1,54,0,55,,,,,,
2021-03-16,CL,085014,Resuttano,37.678648,14.029464,,0,0,1,1,0,0,54,0,55,,,,,,
2021-03-17,CL,085014,Resuttano,37.678648,14.029464,,0,0,1,1,0,0,54,0,55,,,,,,
2021-03-18,CL,085014,Resuttano,37.678648,14.029464,,0,0,1,1,0,0,54,0,55,,,,,,
2021-03-19,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,2,2,54,0,57,,,,,,
2021-03-20,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,54,0,57,,,,,,
2021-03-21,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,54,0,57,,,,,,
2021-03-22,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,54,0,57,,,,,,
2021-03-23,CL,085014,Resuttano,37.678648,14.029464,,0,0,4,4,1,1,54,0,58,,,,,,
2021-03-24,CL,085014,Resuttano,37.678648,14.029464,,0,0,4,4,0,0,54,0,58,,,,,,
2021-03-25,CL,085014,Resuttano,37.678648,14.029464,,0,0,4,4,0,0,54,0,58,,,,,,
2021-03-26,CL,085014,Resuttano,37.678648,14.029464,,0,0,9,9,5,5,54,0,63,,,,,,
2021-03-27,CL,085014,Resuttano,37.678648,14.029464,,0,0,9,9,0,0,54,0,63,,,,,,
2021-03-28,CL,085014,Resuttano,37.678648,14.029464,,0,0,9,9,0,0,54,0,63,,,,,,
2021-03-29,CL,085014,Resuttano,37.678648,14.029464,,0,0,8,8,-1,0,55,0,63,,,,,,
2021-03-30,CL,085014,Resuttano,37.678648,14.029464,,0,0,8,8,0,0,55,0,63,,,,,,
2021-03-31,CL,085014,Resuttano,37.678648,14.029464,,0,0,8,8,0,0,55,0,63,,,,,,
2021-04-04,CL,085014,Resuttano,37.678648,14.029464,,0,0,8,8,0,0,55,0,63,,,,,,
2021-04-05,CL,085014,Resuttano,37.678648,14.029464,,0,0,8,8,0,0,55,0,63,,,,,,
2021-04-06,CL,085014,Resuttano,37.678648,14.029464,,0,0,8,8,0,0,55,0,63,,,,,,
2021-04-07,CL,085014,Resuttano,37.678648,14.029464,,0,0,8,8,0,0,55,0,63,,,,,,
2021-04-08,CL,085014,Resuttano,37.678648,14.029464,,0,0,11,11,3,3,55,0,66,,,,,,
2021-04-09,CL,085014,Resuttano,37.678648,14.029464,,0,0,11,11,0,0,55,0,66,,,,,,
2021-04-10,CL,085014,Resuttano,37.678648,14.029464,,0,1,10,11,0,1,56,0,67,,,,,,
2021-04-12,CL,085014,Resuttano,37.678648,14.029464,,0,1,10,11,0,1,57,0,68,,,,,,
2021-04-13,CL,085014,Resuttano,37.678648,14.029464,,0,1,20,21,10,10,57,0,78,,,,,,
2021-04-14,CL,085014,Resuttano,37.678648,14.029464,,0,1,20,21,0,0,57,0,78,,,,,,
2021-04-15,CL,085014,Resuttano,37.678648,14.029464,,0,1,20,21,0,0,57,0,78,,,,,,
2021-04-16,CL,085014,Resuttano,37.678648,14.029464,,0,1,20,21,0,0,57,0,78,,,,,,
2021-04-17,CL,085014,Resuttano,37.678648,14.029464,,0,1,20,21,0,0,57,0,78,,,,,,
2021-04-22,CL,085014,Resuttano,37.678648,14.029464,,0,1,17,18,-3,1,61,0,79,,,,,,
2021-04-23,CL,085014,Resuttano,37.678648,14.029464,,0,1,13,14,-4,0,65,0,79,,,,,,
2021-04-24,CL,085014,Resuttano,37.678648,14.029464,,0,2,13,15,1,1,65,0,80,,,,,,
2021-04-27,CL,085014,Resuttano,37.678648,14.029464,,0,2,15,17,2,2,65,0,82,,,,,,
2021-04-28,CL,085014,Resuttano,37.678648,14.029464,,0,2,15,17,0,0,65,0,82,,,,,,
2021-04-29,CL,085014,Resuttano,37.678648,14.029464,,0,2,13,15,-2,0,67,0,82,,,,,,
2021-04-30,CL,085014,Resuttano,37.678648,14.029464,,0,2,13,15,0,0,67,0,82,,,,,,
2021-05-01,CL,085014,Resuttano,37.678648,14.029464,,0,2,13,15,0,0,67,0,82,,,,,,
2021-05-02,CL,085014,Resuttano,37.678648,14.029464,,0,2,13,15,0,0,67,0,82,,,,,,
2021-05-04,CL,085014,Resuttano,37.678648,14.029464,,0,2,11,13,-2,0,69,0,82,,,,,,
2021-05-07,CL,085014,Resuttano,37.678648,14.029464,,0,1,7,8,-5,0,74,0,82,,,,,,
2021-05-10,CL,085014,Resuttano,37.678648,14.029464,,0,1,6,7,-1,0,75,0,82,,,,,,
2021-05-15,CL,085014,Resuttano,37.678648,14.029464,,0,0,5,5,-2,0,77,0,82,,,,,,
2021-05-16,CL,085014,Resuttano,37.678648,14.029464,,0,0,5,5,0,0,77,0,82,,,,,,
2021-05-17,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,-2,0,79,0,82,,,,,,
2021-05-18,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,79,0,82,,,,,,
2021-05-19,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,79,0,82,,,,,,
2021-05-21,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,79,0,82,,,,,,
2021-05-22,CL,085014,Resuttano,37.678648,14.029464,,0,0,2,2,-1,0,80,0,82,,,,,,
2021-05-23,CL,085014,Resuttano,37.678648,14.029464,,0,0,2,2,0,0,80,0,82,,,,,,
2021-05-24,CL,085014,Resuttano,37.678648,14.029464,,0,0,2,2,0,0,80,0,82,,,,,,
2021-06-03,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,-2,0,82,0,82,,,,,,
2021-06-05,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-06-10,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-06-12,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-06-17,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-06-18,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-06-19,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-06-21,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-06-26,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-06-30,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-07-01,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-07-02,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-07-03,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-07-04,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-07-06,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-07-07,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,82,0,82,,,,,,
2021-07-08,CL,085014,Resuttano,37.678648,14.029464,,0,0,1,1,1,1,82,0,83,,,,,,
2021-07-09,CL,085014,Resuttano,37.678648,14.029464,,0,1,0,1,0,0,82,0,83,,,,,,
2021-07-10,CL,085014,Resuttano,37.678648,14.029464,,0,1,0,1,0,0,82,0,83,,,,,,
2021-07-11,CL,085014,Resuttano,37.678648,14.029464,,0,1,0,1,0,0,82,0,83,,,,,,
2021-07-12,CL,085014,Resuttano,37.678648,14.029464,,0,1,0,1,0,0,82,0,83,,,,,,
2021-07-13,CL,085014,Resuttano,37.678648,14.029464,,0,1,0,1,0,0,82,0,83,,,,,,
2021-07-14,CL,085014,Resuttano,37.678648,14.029464,,0,1,0,1,0,0,82,0,83,,,,,,
2021-07-15,CL,085014,Resuttano,37.678648,14.029464,,0,1,0,1,0,0,82,0,83,,,,,,
2021-07-16,CL,085014,Resuttano,37.678648,14.029464,,0,1,0,1,0,0,82,0,83,,,,,,
2021-07-17,CL,085014,Resuttano,37.678648,14.029464,,0,1,0,1,0,0,82,0,83,,,,,,
2021-07-18,CL,085014,Resuttano,37.678648,14.029464,,0,1,0,1,0,0,82,0,83,,,,,,
2021-07-19,CL,085014,Resuttano,37.678648,14.029464,,0,1,0,1,0,0,82,0,83,,,,,,
2021-07-20,CL,085014,Resuttano,37.678648,14.029464,,0,1,0,1,0,0,82,0,83,,,,,,
2021-07-21,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,-1,0,83,0,83,,,,,,
2021-07-23,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,83,0,83,,,,,,
2021-07-24,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,83,0,83,,,,,,
2021-07-25,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,83,0,83,,,,,,
2021-07-26,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,83,0,83,,,,,,
2021-07-27,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,83,0,83,,,,,,
2021-07-28,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,83,0,83,,,,,,
2021-07-29,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,83,0,83,,,,,,
2021-07-30,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,83,0,83,,,,,,
2021-07-31,CL,085014,Resuttano,37.678648,14.029464,,0,0,0,0,0,0,83,0,83,,,,,,
2021-08-01,CL,085014,Resuttano,37.678648,14.029464,,0,0,1,1,1,1,83,0,84,,,,,,
2021-08-02,CL,085014,Resuttano,37.678648,14.029464,,0,0,1,1,0,0,83,0,84,,,,,,
2021-08-03,CL,085014,Resuttano,37.678648,14.029464,,0,0,1,1,0,0,83,0,84,,,,,,
2021-08-04,CL,085014,Resuttano,37.678648,14.029464,,0,0,2,2,1,1,83,0,85,,,,,,
2021-08-06,CL,085014,Resuttano,37.678648,14.029464,,0,0,2,2,0,0,83,0,85,,,,,,
2021-08-09,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,1,1,83,0,86,,,,,,
2021-08-10,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,83,0,86,,,,,,
2021-08-12,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,83,0,86,,,,,,
2021-08-13,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,83,0,86,,,,,,
2021-08-14,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,83,0,86,,,,,,
2021-08-15,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,83,0,86,,,,,,
2021-08-16,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,83,0,86,,,,,,
2021-08-17,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,83,0,86,,,,,,
2021-08-18,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,83,0,86,,,,,,
2021-08-19,CL,085014,Resuttano,37.678648,14.029464,,0,0,3,3,0,0,83,0,86,,,,,,
